,userID,subscribers,channeltype
0,PewDiePie,90210848,Entertainment
1,T-Series,90194329,Music
2,Gaming,81888222,Games
3,YouTube Movies,77413743,Film
4,Sports,75622870,Sports
5,5-Minute Crafts,52039165,Howto
6,Canal KondZilla,47785398,Music
7,SET India,43974122,Entertainment
8,Justin Bieber,43878072,Entertainment
9,Cocomelon - Nursery Rhymes,40551419,Education
10,Dude Perfect,40202277,Sports
11,HolaSoyGerman.,38503519,Entertainment
12,Ed Sheeran,37683352,Music
13,Badabun,37292948,Entertainment
14,whinderssonnunes,35123697,Comedy
15,Ariana Grande`,34044586,Music
16,News,33992470,
17,JustinBieberVEVO,33770169,Music
18,Zee Music Company,33090848,Music
19,Katy Perry,32641073,Entertainment
20,Fernanfloo,32393658,Games
21,Rihanna,31492974,Entertainment
22,Marshmello,31451636,Music
23,Felipe Neto,31355944,Entertainment
24,TheEllenShow,31338665,Entertainment
25,Popular on YouTube,29803590,Games
26,YouTube,28009035,News
27,TaylorSwiftVEVO,27679085,Music
28,EminemVEVO,26338163,Music
29,KatyPerryVEVO,26319021,Music
30,RihannaVEVO,26296627,Music
31,VEGETTA777,26160012,Games
32,Trap Nation,25617837,Music
33,Zee TV,25451192,Entertainment
34,Maroon 5,24795239,Music
35,Luis Fonsi,24598214,Entertainment
36,BRIGHT SIDE,24547659,Howto
37,VanossGaming,24323495,Games
38,Bruno Mars,24296338,Music
39,Smosh,24168806,Comedy
40,Sony Music India,24026890,Music
41,Movieclips,23912506,Film
42,Yuya,23501019,Howto
43,OneDirectionVEVO,23172454,Music
44,Voc� Sabia?,23099626,Entertainment
45,rezendeevil,22756174,Entertainment
46,[????] ToyPudding TV,22745819,Entertainment
47,ChuChu TV Nursery Rhymes & Kids�,22624029,Education
48,GR6 EXPLODE,22448166,Music
49,BillionSurpriseToys - Nursery�,22438752,Education
50,Luisito Comunica,22368894,Comedy
51,Alan Walker,22328931,Music
52,ibighit,22089490,Music
53,? Kids Diana Show,21887636,Entertainment
54,Ninja,21759421,Games
55,jacksepticeye,21734897,Games
56,Speed Records,21662675,Music
57,shane,21245806,Comedy
58,NoCopyrightSounds,21123917,Music
59,Selena Gomez,20752656,Film
60,J Balvin,20371997,Music
61,The Tonight Show Starring Jimmy�,20323868,Comedy
62,El Reino Infantil,20272228,Music
